old_path;new_card;initial_reading;title;authors;category;last_read;rating;series;series_index
Художественные/Олдос Хаксли/Фарсовая история Ричарда Гриноу.md;Карточки/Олдос Хаксли - Фарсовая история Ричарда Гриноу.md;Чтения/2025-04-07 - Олдос Хаксли - Фарсовая история Ричарда Гриноу.md;Фарсовая история Ричарда Гриноу;Олдос Хаксли;fiction;2025-04-07;;;
Художественные/Олдос Хаксли/Цинтия.md;Карточки/Олдос Хаксли - Цинтия.md;Чтения/2025-04-08 - Олдос Хаксли - Цинтия.md;Цинтия;Олдос Хаксли;fiction;2025-04-08;;;
Художественные/Олдос Хаксли/Шутовской хоровод.md;Карточки/Олдос Хаксли - Шутовской хоровод.md;Чтения/2025-04-13 - Олдос Хаксли - Шутовской хоровод.md;Шутовской хоровод;Олдос Хаксли;fiction;2025-04-13;;;
Художественные/Рафаэль Сабатини. Одиссея капитана Блада.md;Карточки/Рафаэль Сабатини - Одиссея капитана Блада.md;Чтения/2025-10-10 - Рафаэль Сабатини - Одиссея капитана Блада.md;Одиссея капитана Блада;Рафаэль Сабатини;fiction;2025-10-10;8;;
Художественные/Рей Бредбери. День первый.md;Карточки/Рей Бредбери - День первый.md;Чтения/2026-09-12 - Рей Бредбери - День первый.md;День первый;Рей Бредбери;fiction;2026-09-12;6;;
Художественные/Рей Бредбери. Остров.md;Карточки/Рей Бредбери - Остров.md;Чтения/2026-09-12 - Рей Бредбери - Остров.md;Остров;Рей Бредбери;fiction;2026-09-12;5;;
Художественные/Роберт Артур. Упрямый дядюшка Отис.md;Карточки/Роберт Артур - Упрямый дядюшка Отис.md;Чтения/2026-09-12 - Роберт Артур - Упрямый дядюшка Отис.md;Упрямый дядюшка Отис;Роберт Артур;fiction;2026-09-12;1;;
Художественные/Роберт Силверберг. На Земле хорошо, а дома лучше.md;Карточки/Роберт Силверберг - На Земле хорошо, а дома лучше.md;Чтения/2026-09-12 - Роберт Силверберг - На Земле хорошо, а дома лучше.md;На Земле хорошо, а дома лучше;Роберт Силверберг;fiction;2026-09-12;3;;
Художественные/Роберт Силверберг. На перепутье.md;Карточки/Роберт Силверберг - На перепутье.md;Чтения/2026-09-12 - Роберт Силверберг - На перепутье.md;На перепутье;Роберт Силверберг;fiction;2026-09-12;5;;
Художественные/Сергей Лукьяненко/Конкуренты.md;Карточки/Сергей Лукьяненко - Конкуренты.md;Чтения/2022-05-12 - Сергей Лукьяненко - Конкуренты.md;Конкуренты;Сергей Лукьяненко;fiction;2022-05-12;8;;
Художественные/Сергей Лукьяненко/Маги без времени.md;Карточки/Сергей Лукьяненко - Маги без времени.md;Чтения/2022-05 - Сергей Лукьяненко - Маги без времени.md;Маги без времени;Сергей Лукьяненко;fiction;2022-05;7;;
Художественные/Стивен Кинг/Гретель.md;Карточки/Стивен Кинг - Гретель.md;Чтения/2026-09-06 - Стивен Кинг - Гретель.md;Гретель;Стивен Кинг;fiction;2026-09-06;6;;
Художественные/Стивен Кинг/Нищий и алмаз.md;Карточки/Стивен Кинг - Нищий и алмаз.md;Чтения/2026-09-09 - Стивен Кинг - Нищий и алмаз.md;Нищий и алмаз;Стивен Кинг;fiction;2026-09-09;8;;
Художественные/Тимур Ильясов/Знамение. 1. Начало.md;Карточки/Тимур Ильясов - Начало.md;Чтения/2023-08-18 - Тимур Ильясов - Начало.md;Начало;Тимур Ильясов;fiction;2023-08-18;6;Знамение;1
Художественные/Тимур Ильясов/Знамение. 2. Час Икс.md;Карточки/Тимур Ильясов - Час Икс.md;Чтения/2023-08-25 - Тимур Ильясов - Час Икс.md;Час Икс;Тимур Ильясов;fiction;2023-08-25;3;Знамение;2
Художественные/Тимур Ильясов/Знамение. 3. Вертиго.md;Карточки/Тимур Ильясов - Вертиго.md;Чтения/2023-08-26 - Тимур Ильясов - Вертиго.md;Вертиго;Тимур Ильясов;fiction;2023-08-26;4;Знамение;3
Художественные/Тимур Ильясов/Знамение. 4. Вторжение.md;Карточки/Тимур Ильясов - Вторжение.md;Чтения/2023-08-30 - Тимур Ильясов - Вторжение.md;Вторжение;Тимур Ильясов;fiction;2023-08-30;6;Знамение;4
Художественные/Тия Александер. Год 2150.md;Карточки/Тия Александер - Год 2150.md;Чтения/2022-05-23 - Тия Александер - Год 2150.md;Год 2150;Тия Александер;fiction;2022-05-23;8;;
Художественные/Филип Пулман/Тёмные начала. 01. Северное сияние.md;Карточки/Филип Пулман - Северное сияние.md;Чтения/2023-09-04 - Филип Пулман - Северное сияние.md;Северное сияние;Филип Пулман;fiction;2023-09-04;7;Тёмные начала;1
Художественные/Филип Пулман/Тёмные начала. 02. Чудесный нож.md;Карточки/Филип Пулман - Чудесный нож.md;Чтения/2023-09-08 - Филип Пулман - Чудесный нож.md;Чудесный нож;Филип Пулман;fiction;2023-09-08;8;Тёмные начала;2
Художественные/Филип Пулман/Тёмные начала. 03. Янтарный телескоп.md;Карточки/Филип Пулман - Янтарный телескоп.md;Чтения/2023-09-25 - Филип Пулман - Янтарный телескоп.md;Янтарный телескоп;Филип Пулман;fiction;2023-09-25;7;Тёмные начала;3
Художественные/Чак Паланик. Удушье.md;Карточки/Чак Паланик - Удушье.md;Чтения/2021-01 - Чак Паланик - Удушье.md;Удушье;Чак Паланик;fiction;2021-01;6;;
Художественные/Чарльз Буковски/Генри Чинасски. 01. Почтамт.md;Карточки/Чарльз Буковски - Почтамт.md;Чтения/2023-03-05 - Чарльз Буковски - Почтамт.md;Почтамт;Чарльз Буковски;fiction;2023-03-05;8;Генри Чинасски;1
Художественные/Чарльз Буковски/Генри Чинасски. 02. Фактотум.md;Карточки/Чарльз Буковски - Фактотум.md;Чтения/2023-03-10 - Чарльз Буковски - Фактотум.md;Фактотум;Чарльз Буковски;fiction;2023-03-10;5;Генри Чинасски;2
Художественные/Чарльз Буковски/Генри Чинасски. 03. Женщины.md;Карточки/Чарльз Буковски - Женщины.md;Чтения/2023-03-01 - Чарльз Буковски - Женщины.md;Женщины;Чарльз Буковски;fiction;2023-03-01;4;Генри Чинасски;3
Художественные/Чарльз Буковски/Генри Чинасски. 04. Хлеб с ветчиной.md;Карточки/Чарльз Буковски - Хлеб с ветчиной.md;Чтения/2023-03-10 - Чарльз Буковски - Хлеб с ветчиной.md;Хлеб с ветчиной;Чарльз Буковски;fiction;2023-03-10;8;Генри Чинасски;4
Художественные/Чарльз Буковски/Генри Чинасски. 05. Голливуд.md;Карточки/Чарльз Буковски - Голливуд.md;Чтения/2023-03-15 - Чарльз Буковски - Голливуд.md;Голливуд;Чарльз Буковски;fiction;2023-03-15;3;Генри Чинасски;5
